gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	old_locus_tag
SPY_RS00445	3762.80590804242	-0.154564226960684	0.200989078648179	0.200312971044197	0.563547114066977	adk	SPy_0074
SPY_RS00450	5595.23342806476	-0.203108552785815	0.20844250616371	0.119585790688615	0.457070690372352	infA	SPy_0075
SPY_RS00455	2374.85996503552	-0.415143475640668	0.274337165007335	0.0151506153488091	0.145499760178039	rpmJ	SPy_0076
SPY_RS00460	4006.6037620785	-0.523849029751027	0.277833881486088	0.00497965096034112	0.0694530265521261	rpsM	SPy_0077
SPY_RS00465	2004.77881652605	-0.623049553502327	0.296208104388602	0.00237304620040784	0.0410124288983529	rpsK	SPy_0078
SPY_RS00470	6526.21246289454	-0.444137960142977	0.324527864039373	0.0140610943096205	0.13886422330619	rpoA	SPy_0080
SPY_RS00475	6221.60236414593	-0.238777028417024	0.23004539517546	0.0797642075763024	0.368357140737657	rplQ	-
SPY_RS00565	867.426579269882	-0.0304052072470693	0.159666169933347	0.784827664558293	0.933337657103951	ispE	SPy_0088
SPY_RS00570	80.1196995280799	-0.0927523901054422	0.215187637183968	0.342755077966921	0.697218719547852	adcR	SPy_0092
SPY_RS00575	2318.75712724301	-0.0681881503546752	0.16097735369385	0.549927562832923	0.831164282228467	adcC	SPy_0093
SPY_RS00580	4069.74229979112	-0.0178303910956208	0.151134413038839	0.87003308609334	0.962499149027355	adcB	SPy_0094
SPY_RS00585	71.170102731602	0.0164533692307552	0.19551447419177	0.857030719753181	0.96091338627034	SPy_0095	SPy_0095
SPY_RS00590	2933.78490953866	-0.0674561336356567	0.158470716432816	0.532925924962425	0.824092770932244	tyrS	SPy_0096
SPY_RS00595	8240.44969450019	0.000737694777376983	0.155417945095077	0.997044397449182	0.999559011314124	pbp1b	SPy_0097
SPY_RS00600	15979.4113334157	-0.309611975975931	0.272193654032181	0.0411865737639213	0.256438894979024	rpoB	SPy_0098
SPY_RS00605	12180.89222298	-0.194220845156435	0.227136886425484	0.127725286920863	0.472286526056214	rpoC	SPy_0099
SPY_RS00610	1117.32866734845	0.125019002368426	0.193012347218066	0.28917478583197	0.653598941333913	SPy_0100	SPy_0100
SPY_RS00615	12.0147412975427	-0.0230573669042309	0.2173007246309	0.634714411446393	0.86976294246491	comGA	SPy_0101
SPY_RS00620	13.0096593024502	0.011098826806278	0.214575657833463	0.844219262674479	0.959274087423021	comGB	SPy_0102
SPY_RS00650	2636.2733551776	-0.0932069535667564	0.1732869645369	0.415966820347543	0.752431449775419	ytxK	SPy_0108
SPY_RS00655	9041.0384666485	0.0289938374220214	0.150478466896556	0.795909171225365	0.936710275535403	ackA	SPy_0109
SPY_RS00660	95.1527808206522	0.223719364336605	0.292303092618312	0.0844571021831979	0.378272654848689	SPy_0110	SPy_0110
SPY_RS00665	1146.68362166587	-0.0327700048094818	0.177103727388179	0.756047179631282	0.921867343262069	proC	SPy_0112
SPY_RS00670	659.818496684916	-0.057600072027513	0.168328146745253	0.611989419100949	0.859893822868994	pepA	SPy_0115
SPY_RS00675	806.892312248042	0.23090871405003	0.207109848104351	0.0915657665153477	0.393084381028433	SPy_0117	SPy_0117
SPY_RS00680	973.898317124076	0.344701788044376	0.230316720944204	0.0239823894149076	0.194551016171955	ytpP	-
SPY_RS00685	4124.13414947549	0.258945339200934	0.197583067183693	0.056572017973749	0.311243974319242	SPY_RS00685	-
SPY_RS00690	39.8968489561163	0.111132034044294	0.237139692309551	0.212271263996353	0.572751494354491	ssb	-
SPY_RS00695	989.405017425947	-0.00782539322206729	0.164264261154506	0.950016746155068	0.983516358467433	dukB	SPy_0121
SPY_RS00700	1601.56608860665	0.0538647621085868	0.162196161562257	0.634318232022536	0.86976294246491	dusB	SPy_0122
SPY_RS00705	1763.96864143459	-0.0255523708326483	0.155799559520677	0.780014310971632	0.933337657103951	hslO	SPy_0123
SPY_RS00710	3386.8473337595	-0.499353474617572	0.246184236357081	0.00435229243585752	0.0634875685597565	rofA	SPy_0124
SPY_RS00715	16089.0390699954	0.199996397008313	0.180530920395902	0.115867721591542	0.446076700558235	cpa	-
SPY_RS00720	1131.31740447298	-0.254279571325034	0.21796423292788	0.0629068888504584	0.324865398326891	sipA	SPy_0127
SPY_RS00725	3230.72080770323	-0.253231598400361	0.203951961303356	0.0637471725018804	0.324865398326891	fctA	SPy_0128
SPY_RS00730	2681.81096796591	-0.150917396654062	0.178097049453143	0.214331534050894	0.572751494354491	srtC1	SPy_0129
SPY_RS00735	7734.12837430392	-0.0859926999323369	0.156793925809944	0.449324689424146	0.778242109133324	fctB	SPy_0130
SPY_RS00740	134.370997522512	0.00859964241427346	0.192583971609757	0.933735367185552	0.981428193676069	SPy_0131	SPy_0131
SPY_RS00745	21.9381613248476	-0.0292802963441768	0.21547343255186	0.613790460429819	0.859893822868994	SPY_RS00745	-
SPY_RS00755	43.656912211401	-0.0012398217183405	0.203800838473541	0.981772129273828	0.995120971001232	SPy_0135	SPy_0135
SPY_RS00760	108.728664300866	0.222379977214173	0.311892532313827	0.0691872645610816	0.337447087889938	SPy_0136	SPy_0136
SPY_RS00770	10.4078911116368	0.00460873390792365	0.216106395291184	0.919545203301206	0.979945517582174	SPy_0139	SPy_0139
SPY_RS00785	7.95849941999138	0.0703357888139406	0.234604439473739	0.0860857516775729	0.381073519674394	yodR	SPy_0142
SPY_RS00790	139.578898882277	0.000451403319107268	0.18855316100311	0.995902972294194	0.999292399005872	SPy_0144	SPy_0144
