locus_tag	symbol	old_locus_tag	rna_exp_d_w_logfc	rna_exp_d_w_padj		rna_exp_d_c_logfc	rna_exp_d_c_padj		rna_stat_d_w_logfc	rna_stat_d_w_padj		rna_stat_d_c_logfc	rna_stat_d_c_padj		rna_log_d_wc_logfc	rna_log_d_wc_padj		rna_stat_d_wc_logfc	rna_stat_d_wc_logfc
SPY_RS00005	dnaA	SPy_0002	-0.185963562500146	0.46600304122491		-0.231492034504293	0.363344291044655		-0.162259135405284	0.284892069842761		0.0196047057294849	0.955466733391645		-0.169461754089417	0.549401962595211		-0.14966051694137	0.523861337383686
SPY_RS00010	dnaN	SPy_0003	-0.144405121489912	0.553885128536648		-0.0797314532429642	0.771170170380709		-0.0991419304779607	0.507483234600711		0.0926067253567831	0.711022425297349		-0.133514908730517	0.618550391058469		-0.093263905484156	0.706064215707821
SPY_RS00015	yyzM	SPy_0004	0.0202900353806809	0.946953363903411		-0.00963490365386259	0.969465977574272		0.294959799980136	0.127060302617321		0.56442955983347	0.0536792685627212		0.0197859791985148	0.959274087423021		0.261707963474683	0.332785752567738
SPY_RS00020	ychF	SPy_0006	-0.0841454843184447	0.755348409941098		-0.127837793185853	0.627376009060016		0.291150723834045	0.0351475715485596		0.264640711823118	0.155289486280367		-0.0784506380513018	0.80221696314776		0.292206825285032	0.111683674500073
SPY_RS00025	pth	SPy_0007	-0.358930614461824	0.20760842055158		-0.148461352425256	0.491816670658272		0.418514874885644	0.0570630763369652		0.476584939221199	0.104161990956062		-0.264897683730626	0.299816268878862		0.346731374185279	0.22196807357123
SPY_RS00030	mfd	SPy_0008	-0.421081955939771	0.131613617851154		-0.215415801248757	0.397090425144038		0.359420738873949	0.034584243594736		0.290225241849662	0.18893699780557		-0.396543383819491	0.17376930851078		0.35075667676593	0.123349245303172
SPY_RS00035	yabO	SPy_0009	0.00828405715572498	0.980449903787326		-0.0550964784984076	0.849182748839136		0.183148294726233	0.313761386432149		0.0696792033801869	0.810411390103921		0.00657957811908329	0.981428193676069		0.163496264931658	0.548061196331456
SPY_RS00040	divIC	SPy_0010	-0.0592170473992893	0.815968559978706		-0.133539402958075	0.57397426954583		0.388893475859202	0.0594978664636053		0.960290167609149	0.0040797991597943		-0.0519189833098887	0.859893822868994		0.331498346167712	0.235897520425013
SPY_RS00045	SPy_0012	SPy_0012	0.0353068494437954	0.909479214128854		-0.0402137710030058	0.886445219721539		0.415637684296754	0.0208644145511672		0.394173525103976	0.0759324768571213		0.0337115722127926	0.923714108414702		0.404046416867021	0.0895088249823636
SPY_RS00050	tilS	SPy_0013	-0.171372185057877	0.490145929138118		-0.308882994113359	0.222170070069514		-0.0223264067751473	0.877912395610394		0.00874322626048515	0.98090605189925		-0.158204781505843	0.563547114066977		-0.0163842308605649	0.951741651391113
SPY_RS00055	hpt	-	-0.292011653469715	0.261734113709307		-0.163605601975747	0.491816670658272		0.30863948926817	0.0471973785715971		0.172114099794052	0.431243367172695		-0.297905561662208	0.289370528827144		0.307595323049263	0.139554590255457
SPY_RS00060	ftsH	SPy_0015	0.243968290575647	0.324780238162706		0.14824309256704	0.564833822878279		0.721697734244943	6.94165169089888e-05		0.808524763117312	3.42945762143987e-05		0.267156546897028	0.337447087889938		0.72079476719732	0.000401823833071702
SPY_RS00065	yfnA	SPy_0016	-0.0578746596144222	0.825375199869292		-0.067656995416294	0.80890334346839		0.530071702406013	0.00140548127950996		0.504255384617642	0.0161540091335976		-0.0570959234955479	0.858971820065486		0.529979514295065	0.012446684449746
SPY_RS00210	p40	SPy_0019	-0.121099060584258	0.628335659848609		-0.111925353727505	0.683224188323828		-0.0170742723366518	0.889596642484269		-0.0943165697807746	0.645955266067108		-0.125394053233235	0.682193751515781		-0.0118892323683856	0.959035761291178
SPY_RS00215	prs	SPy_0020	0.0170762852242768	0.959593730002447		-0.0545564103391131	0.860696890468069		0.567312888321058	4.1170058123554e-05		0.625227052086398	0.000175471830007973		0.0113901787517285	0.962499149027355		0.57727960884598	0.000478411954577977
SPY_RS00220	recO	SPy_0021	-0.0601846288954058	0.811185921493447		-0.0310173564686178	0.904326255496862		0.0916674687196854	0.586994228986876		0.0621981504229973	0.834292738200338		-0.0493330291034221	0.859893822868994		0.0876829210497538	0.753793914119967
