gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	old_locus_tag
SPY_RS00005	343.899538170211	-0.185963562500146	0.203673173254245	0.148205233537593	0.46600304122491	dnaA	SPy_0002
SPY_RS00010	446.62628867897	-0.144405121489912	0.191752278953439	0.235947187915741	0.553885128536648	dnaN	SPy_0003
SPY_RS00015	182.734275837705	0.0202900353806809	0.179728416722779	0.849927803522268	0.946953363903411	yyzM	SPy_0004
SPY_RS00020	2923.9019425548	-0.0841454843184447	0.160460773328952	0.462731651011979	0.755348409941098	ychF	SPy_0006
SPY_RS00025	73.5514823263826	-0.358930614461824	0.396120626159815	0.0321778014428521	0.20760842055158	pth	SPy_0007
SPY_RS00030	397.859218683809	-0.421081955939771	0.263814048514022	0.0136122681681866	0.131613617851154	mfd	SPy_0008
SPY_RS00035	114.085979685366	0.00828405715572498	0.180852671864737	0.939099547625748	0.980449903787326	yabO	SPy_0009
SPY_RS00040	99.5417137587353	-0.0592170473992893	0.190958029187485	0.573340546022529	0.815968559978706	divIC	SPy_0010
SPY_RS00045	346.639010361132	0.0353068494437954	0.165049355605265	0.753584562917003	0.909479214128854	SPy_0012	SPy_0012
SPY_RS00050	491.517447979816	-0.171372185057877	0.188707193694077	0.172267869270812	0.490145929138118	tilS	SPy_0013
SPY_RS00055	1048.66198462745	-0.292011653469715	0.257446675384071	0.0500797011363638	0.261734113709307	hpt	-
SPY_RS00060	28570.8814950884	0.243968290575647	0.217539582339226	0.0738158757737565	0.324780238162706	ftsH	SPy_0015
SPY_RS00065	2348.94920792761	-0.0578746596144222	0.171678662930768	0.60289203351797	0.825375199869292	yfnA	SPy_0016
SPY_RS00210	31883.7089195263	-0.121099060584258	0.169199407493398	0.304121537482536	0.628335659848609	p40	SPy_0019
SPY_RS00215	27355.9696770721	0.0170762852242768	0.154703380314028	0.885778827694567	0.959593730002447	prs	SPy_0020
SPY_RS00220	86.9038625459868	-0.0601846288954058	0.192278143339164	0.56687290609967	0.811185921493447	recO	SPy_0021
SPY_RS00225	1332.56354724012	-0.0805979053411536	0.163185097062016	0.479044641042998	0.766414031762433	plsX	SPy_0022
SPY_RS00230	347.44281355082	0.0265189859969537	0.165754091611897	0.811521034209198	0.933400029681509	acpP_1	SPy_0023
SPY_RS00235	2365.23551350435	-0.535718616302295	0.288064964814337	0.00528064664990449	0.0710361771078457	purC	SPy_0024
SPY_RS00240	6673.87441611956	-0.662025578480008	0.340267522195994	0.00267251225368616	0.0444566472949802	purL	SPy_0025
SPY_RS00245	1205.59839325418	-0.866043501761971	0.753775652333457	0.00283489944061734	0.0452122622127322	purF	SPy_0026
SPY_RS00250	1042.16951219882	-1.14309254104469	0.644512508514183	0.000809172014971062	0.0189665016236399	purM	SPy_0027
SPY_RS00255	437.912400972707	-0.914156689630204	0.748601644299036	0.00241015938505758	0.0425192446384454	purN	SPy_0028
SPY_RS00260	1468.85017701832	-0.847737133678649	0.639978731610885	0.00270130888540927	0.0444566472949802	purH	-
SPY_RS00265	9.65032585999162	-0.0039729524766089	0.215856171143311	0.933262183568081	NA	SPy_0031	SPy_0031
SPY_RS00270	2342.80179022697	-0.136476890315685	0.175888054834816	0.256490404613792	0.581804480846828	purD	SPy_0032
SPY_RS00275	747.819446104766	-0.27905413946589	0.22853612493348	0.0546103497137671	0.270149118831612	purE	SPy_0033
SPY_RS00280	1553.88998102504	-0.335711241910683	0.269391109447296	0.0320071685100531	0.20760842055158	purK	SPy_0034
SPY_RS00285	507.51599141666	-0.711151343942863	0.282474296538316	0.000772358297806309	0.0183821274877902	SPy_0035	SPy_0035
SPY_RS00290	2587.1595838869	-0.280824102318079	0.226816390639535	0.0511639739067632	0.265245255671034	purB	SPy_0036
SPY_RS00295	61.5124925784421	0.0943736725739217	0.214102194318883	0.350523342856639	0.665329829565226	rgg4	SPy_0037
SPY_RS00300	8523.64528402664	0.142278529294491	0.168759033696793	0.243535290504617	0.56063853334917	ruvB	SPy_0038
SPY_RS00305	891.703060183628	-0.101894681996916	0.172640513057443	0.380164407758946	0.688189889375226	ptpA	SPy_0039
SPY_RS00310	542.90279341509	-0.168758112679982	0.222042764193915	0.1706265495141	0.489071536592709	SPy_0040	SPy_0040
SPY_RS00315	4756.75260765438	-0.0919186554282922	0.163711299963419	0.427211188296809	0.72946546169444	SPy_0041	SPy_0041
SPY_RS00320	8078.01854679318	0.838556606675223	0.594693762172832	0.00279544636356344	0.0452122622127322	adhE	-
